ID	Day1	Day2	Day3	Day6	Day8	Day12
PF3D7_0100100	6.041998	5.821311	6.464783	6.102505	5.976001	6.334611
PF3D7_0100200	6.478527	6.271674	6.198534	6.20983	6.192821	6.618391
PF3D7_0100300	5.013802	4.718944	4.848705	4.804215	4.86129	4.987093
PF3D7_0100400	6.505477	6.441304	6.197724	6.087964	5.726784	5.887943
PF3D7_0100600	5.099497	4.737768	5.050184	5.215021	4.434811	5.021425
PF3D7_0100700	4.638016	4.574143	3.710661	4.57973	4.321235	6.54118
PF3D7_0100800	4.3533	4.58402	4.601128	4.124069	5.009823	4.742041
PF3D7_0100900	6.332248	5.153914	5.412951	5.326723	5.229127	5.32721
PF3D7_0101000	6.140193	5.789905	5.872611	5.81824	6.038168	6.390143
PF3D7_0101100	5.532752	4.869441	5.086976	5.139714	4.684516	5.112953
PF3D7_0101200	5.639906	4.77595	5.663316	5.083646	4.700726	5.647278
PF3D7_0101300	8.630996	6.470825	6.018625	5.725472	5.644367	6.149166
PF3D7_0101400	6.021592	6.17699	6.875235	6.300069	6.211073	6.159311
PF3D7_0101500	4.945569	4.927337	5.29506	5.367278	4.937523	5.780623
PF3D7_0101600	6.562555	5.694977	5.869267	5.444186	6.263915	5.551045
PF3D7_0101700	4.780692	4.659071	5.351479	5.388979	5.504184	5.752552
PF3D7_0101800	5.595483	4.769345	5.419345	5.216233	5.347748	5.257201
PF3D7_0101900	5.604815	5.311291	5.863241	5.544619	5.392031	5.725178
PF3D7_0102000	3.804249	3.579916	4.546314	4.500224	3.885188	4.414565
PF3D7_0102100	4.631761	4.773872	4.631761	4.696175	4.771312	5.208181
PF3D7_0102200	6.66778	6.551972	8.059984	7.009325	6.422608	6.630951
PF3D7_0102400	5.147614	4.965527	6.489345	5.06646	6.182775	4.574229
PF3D7_0102500	5.278821	5.917303	6.113868	5.922137	4.959785	5.182643
PF3D7_0102600	5.565405	5.36281	5.656302	5.571062	5.531917	5.964848
PF3D7_0102700	5.299773	5.516945	5.645493	6.334735	5.801692	5.875742
PF3D7_0102800	5.30942	5.011448	4.735833	4.769854	5.309468	5.015633
PF3D7_0102900	6.913215	6.564545	6.348172	6.158281	6.724542	6.631509
PF3D7_0103000	5.191049	6.129481	5.257875	5.423581	6.950114	5.248378
PF3D7_0103100	5.031079	5.424177	5.366252	5.164705	5.358164	4.987609
PF3D7_0103200	8.369093	8.663046	8.299264	8.204298	8.341352	8.55892
PF3D7_0103300	5.348995	5.270989	5.407068	5.219931	5.226815	4.888077
PF3D7_0103400	6.499793	6.472244	6.568379	6.627366	6.9167	7.100465
PF3D7_0103500	5.374962	5.705577	5.663699	5.550197	5.469445	5.547377
PF3D7_0103600	5.523548	5.317217	5.412707	5.527969	5.64984	5.607239
PF3D7_0103700	6.403688	6.965313	6.626489	6.843	6.417924	7.07594
PF3D7_0103800	7.490989	8.027778	8.653135	9.186546	9.901412	9.454827
PF3D7_0103900	4.787801	4.927329	4.736668	5.093149	5.39599	4.955708
PF3D7_0104000	4.314866	4.962568	5.230866	4.693316	5.263445	5.293644
PF3D7_0104100	4.716105	5.565079	5.143355	5.656821	6.202461	6.040741
PF3D7_0104200	8.984362	8.830477	9.064657	8.28372	8.114813	7.68218
PF3D7_0104300	6.829543	6.620206	6.941339	6.456884	6.465723	6.456273
PF3D7_0104400	6.630399	6.651104	6.530596	6.910521	7.195927	7.096945
PF3D7_0104500	7.40718	7.345764	7.116456	7.047156	7.231031	7.497357
PF3D7_0104600	5.487026	5.428241	5.396043	5.191426	5.180079	5.084385
PF3D7_0104700	5.042712	5.023504	5.487063	5.757826	5.713917	6.011912
PF3D7_0104800	5.717574	5.667793	5.758726	6.380231	5.866336	6.278367
PF3D7_0105100	5.656289	6.544812	5.270382	5.376234	5.984212	6.987025
PF3D7_0105200	6.198119	6.03354	5.828106	5.765548	5.944664	5.624911
PF3D7_0105300	5.865267	7.14844	6.84946	6.608873	5.605885	7.62637
PF3D7_0105400.1	5.2109	6.37546	6.534763	6.10795	6.436127	6.381411
PF3D7_0105400.2	5.2109	6.37546	6.534763	6.10795	6.436127	6.381411
PF3D7_0105500	4.656477	4.477582	4.066123	4.371141	5.14248	4.064427
PF3D7_0105600	6.445492	6.182378	5.98511	5.78775	5.878729	5.86322
PF3D7_0105700	5.608484	5.893407	5.879994	6.170353	5.706254	5.337087
PF3D7_0105800	5.903891	6.471827	6.411784	6.31735	6.30799	6.360037
PF3D7_0105900	5.618846	6.36292	6.046856	6.337145	6.730755	7.09748
PF3D7_0106000	5.197311	5.903679	5.642578	5.31772	5.943754	5.828839
PF3D7_0106100	7.6097	7.485714	7.588408	7.23619	7.37081	6.908066
PF3D7_0106200	3.624835	5.878677	4.065752	4.028752	5.157074	3.818626
