rownames(dat1)	40-5	2-10	7-15	12-20	17-25	22-30	27-35	32-40
PF3D7_0100100	1.7776	0.3847	0.2991	0.4034	0.8257	0.827500000000001	0.7984	2.403
PF3D7_0100200	0.1312	0.0456000000000003	0.1539	0.2732	0.1045	0	0.0716999999999999	0.4697
PF3D7_0100300	0.1311	0.1368	0.1923	0.3074	0.1829	0.1079	0.1436	0.1864
PF3D7_0100400	1.6345	0.771	0.685	0.851	1.7208	0.9122	0.511100000000001	0.3934
PF3D7_0100500	23.3283	4.8651	0.9124	1.5184	6.9697	2.8781	0	3.4394
PF3D7_0100600	0.4032	0.2523	0.2365	0.189	0.0963	0	0	0.051
PF3D7_0100700	0	0	0	0	0.5102	0	0	0
PF3D7_0100800	0	0	0	0	0	0	0	0
PF3D7_0100900	0	0	0	0	0	0	0	0
PF3D7_0101000	0	0	0	0	0	0	0	0
PF3D7_0101100	118.6516	279.0373	420.6941	289.6171	243.7533	83.9365	22.1003	12.6035
PF3D7_0101200	41.0326	88.3909	105.3633	69.7425	54.2938	18.3731	3.0432	1.469
PF3D7_0101300	0.369	0.3207	0.2165	0.6245	0.882	1.29	0.4039	0.1555
PF3D7_0101400	0.3681	0.7677	0.7405	1.0269	0.8799	0.4542	0.1726	0.0996
PF3D7_0101500	1.6657	1.2682	0.5584	1.3217	2.0223	1.0112	1.3889	2.2385
PF3D7_0101600	0.2354	0.1228	0.0461	0.1532	0	0.0484	0	0.0991
PF3D7_0101700	0.064	0.4009	0.2255	0.2002	0.5744	0.2767	0.1052	0.0202
PF3D7_0101800	0	0.1044	0.1174	0.039	0	0.0617	0.2054	0
PF3D7_0101900	0.0844	0.0879999999999999	0	0.0659	0.0504	0	0	0
PF3D7_0102000	0	0	0	0	0	0	0	0
PF3D7_0102100	0	0	0	0	0	0	0	0
PF3D7_0102200	400.1088	223.595700000002	69.0069000000003	8.75889999999998	1.53349999999999	1.6819	0.285299999999999	0.1858
PF3D7_0102300	0	0	0	0	0	0	0	0
PF3D7_0102400	0	0	0	0	0	0	0	0
PF3D7_0102500	0	0	0	0	0	0	0	0
PF3D7_0102600	0	0	0	0	0	0	0	0
PF3D7_0102700	0	0	0	0	0	0	0	0
PF3D7_0102800	0	0	0	0	0	0	0	0
PF3D7_0102900	0	0	0	0	0	0	0	0
PF3D7_0103000	0.0558000000000005	0	0	0	0	0	0	0
