rownames(dat1)	Hour 5	Hour 10	Hour 15	Hour 20	Hour 25	Hour 30	Hour 35	Hour 40
PF3D7_0100100	3.4069	1.8107	2.3288	2.4343	4.9966	2.8706	3.998	9.2869
PF3D7_0100200	0.3416	0.9569	0.7675	0.1707	1.2331	0.5476	0.1789	1.4651
PF3D7_0100300	0.363	0.5383	0.4903	0.6185	0.3445	0.2967	0.3876	0.5591
PF3D7_0100400	0.6082	0.3549	0.6072	0.2278	0.8393	0.3249	0.0531000000000001	0.3432
PF3D7_0100500	9.1144	5.6731	0.7583	1.5172	2.5801	0.8117	2.6515	4.1144
PF3D7_0100600	0.3938	0.0736	0.1573	0.236	0.1338	0.0842	0.0549	0.2844
PF3D7_0100700	0	0	0	0.4165	0	0	0	0
PF3D7_0100800	0	0	0	0	0	0.0878	0.0573	0
PF3D7_0100900	0.1616	0.0754	0.1613	0	0.2744	0.0863	0	0.4376
PF3D7_0101000	0.237	0.0737	0.1577	0	0.1341	0	0	0.3565
PF3D7_0101100	458.9095	976.1465	1250.3781	999.776	521.5556	151.7073	54.7321	39.8055
PF3D7_0101200	124.349	233.1146	275.8871	191.7577	99.5572	30.5648	5.9137	2.549
PF3D7_0101300	4.686	2.3558	10.9169	50.284	211.222	67.9236	9.4796	2.6035
PF3D7_0101400	1.7465	2.5899	3.6928	1.7444	1.396	0.5489	0.2869	0.2782
PF3D7_0101500	2.5825	2.7487	2.7847	2.889	5.3075	3.4221	4.9044	8.9068
PF3D7_0101600	0.0766	0.4293	0.6122	0.3062	1.2367	0.4095	0.0535	0.4844
PF3D7_0101700	1.4398	0.5844	0.4999	0.6252	0.6379	0.1338	0.1748	0.1695
PF3D7_0101800	0.1956	0.0912	0.2928	0.0976	1.2455	1.045	0.2731	0.1765
PF3D7_0101900	0.577	0.4618	0.1646	0	0.14	0.088	0	0
PF3D7_0102000	0	0	0	0	0	0	0	0
PF3D7_0102100	0	0	0.1004	0	0	0	0	0
PF3D7_0102200	3126.1296	2380.209	490.7643	120.2523	7.2067	4.018	1.5314	20.4149
PF3D7_0102300	0	0.224299999999999	0	0.2401	0	0	0	0
PF3D7_0102400	0	0	0	0	0	0	0	0
PF3D7_0102500	0.018100000000004	0	0	0	0	0	0	0
PF3D7_0102600	0	0	0	0	0	0	0	0
PF3D7_0102700	0.102400000000003	0.0956000000000046	0	0.102200000000002	0	0.109399999999999	0	0
PF3D7_0102800	0	0.0435	0	0.0466	0.0396000000000001	0	0.0976999999999997	0.126299999999999
PF3D7_0102900	0	0	0.0450999999999908	0	0	0	0	0
PF3D7_0103000	0	0	0	0.1089	0	0	0	0
PF3D7_0103100	0.0172999999999999	0	0.0173	0.0173999999999999	0.0294000000000008	0.0556000000000001	0.0484000000000009	0
PF3D7_0103200	0	0	0.130099999999999	0	0	0	0	0
PF3D7_0103300	0	0	0.0307999999999993	0.0307999999999993	0	0.0330000000000013	0.064700000000002	0
PF3D7_0103400	0.7697	0.212299999999999	0.0350000000000001	0.139800000000001	0.505100000000013	0.747799999999998	0.598399999999998	0.489600000000003
PF3D7_0103500	0.1711	0.1306	0.0466	0	0.1848	0.5815	0.4993	0.1544
PF3D7_0103600	0.0553999999999988	0.0518000000000001	0.0554000000000006	0.0368999999999993	0.0783999999999949	0.0395000000000039	0.0773999999999972	0.0334000000000003
PF3D7_0103700	0	0	0.0529000000000011	0.0529000000000011	0.0448999999999984	0	0	0
PF3D7_0103800	0	0	0	0	0	0	0.052	0
PF3D7_0103900	0	0	0.0492000000000008	0	0.0836000000000041	0.105199999999996	0	0
PF3D7_0104000	0	0	0	0	0.1468	0	0.2415	0
PF3D7_0104100	0	0	0	0	0	0	0	0
PF3D7_0104200	0.0606999999999971	0	0	0	0	0	0	0
PF3D7_0104300	19.5899000000001	11.2631	5.81610000000001	3.89230000000001	2.1467	1.9913	1.91199999999999	1.0752
PF3D7_0104400	0	0	0	0	0.0899000000000001	0.0564999999999998	0.0370000000000061	0.0477999999999952
PF3D7_0104500	0	0	0.101799999999997	0	0	0	0	0
PF3D7_0104600	0.2751	0.4149	0.6972	1.6908	1.905	2.4423	1.5366	0.5731
PF3D7_0104700	0	0.0371	0.0398	0	0	0	0	0.036
PF3D7_0104800	0	0	0	0	0	0	0	0.0442999999999998
PF3D7_0104900	0	0	0	0	0	0	0	0
PF3D7_0105000	0.257800000000003	0.962699999999998	1.0295	1.0299	1.5325	2.2038	0.899899999999988	1.1637
PF3D7_0105100	0	0	0	0	0	0	0	0
PF3D7_0105200	0	0	0	0	0	0	0	0.0450000000000017
PF3D7_0105300	0	0	0	0	0	0	0	0
PF3D7_0105400.1	0	0	0	0	0	0	0	0
PF3D7_0105400.2	0	0	0	0	0	0	0	0
PF3D7_0105500	0	0	0	0.0821000000000001	0	0	0	0.0743000000000009
PF3D7_0105600	0.0231000000000003	0	0.0230999999999995	0	0	0	0.0160999999999998	0
PF3D7_0105700	0.00929999999999964	0.00870000000000015	0.0185	0.0278	0.0393000000000008	0.0296999999999983	0.0259	0.0167000000000002
