rownames(dat1)	Ring	Early Trophozoite	Late Trophozoite	Schizont	Gametocyte II	Gametocyte V	Ookinete
PF3D7_0100100	34.185	43.7126	22.753	19.8748	4.0146	4.9574	0
PF3D7_0100200	10.1664	20.1412	2.8918	2.3608	2.5395	1.1679	0
PF3D7_0100300	7.9915	2.03	3.1809	2.287	0.8557	2.2629	0
PF3D7_0100400	3.4516	4.1098	3.4563	0.5253	1.5724	5.1111	0
PF3D7_0100500	30.7572	7.0795	13.96	7.8726	46.1483	128.9605	0
PF3D7_0100600	9.4723	4.5519	1.6763	1.6329	4.2766	14.5405	0
PF3D7_0100700	13.3043	1.9434	0	0	0	1.9007	0
PF3D7_0100800	0.706	1.6088	0	0.2839	0	0	0
PF3D7_0100900	6.0471	17.5449	1.0941	0.8373	0.5222	0.9206	0
PF3D7_0101000	7.2694	7.3622	0.6112	0.2728	0.5105	0.72	0
PF3D7_0101100	55.2247	29.1586	5.2206	1.5801	1.8919	6.3582	0
PF3D7_0101200	34.6454	8.5812	0.9499	0	0.6347	3.0773	0
PF3D7_0101300	9.1414	80.8589	5.4629	0	2.3298	4.792	0
PF3D7_0101400	17.7762	1.6279	0.795	0	25.8988	73.6391	0
PF3D7_0101500	31.627	3.8032	14.6394	1.7845	8.2795	7.769	0
PF3D7_0101600	6.489	22.7872	3.1879	0.5296	1.8824	1.31	0
PF3D7_0101700	12.5972	1.2252	0.666	1.2976	1.6993	12.5539	0
PF3D7_0101800	5.0394	4.1013	0.9458	0	0.3792	1.0027	0
PF3D7_0101900	2.3265	1.383	0.8771	1.1392	0.8525	4.6026	0
PF3D7_0102000	0	0.2089	0	0	0	0.2554	0
PF3D7_0102100	0.246799999999999	0.3749	0.0973	0	0	0	0
PF3D7_0102200	99.6782000000001	9.0048	50.3142	2.52590000000001	2.4303	0.6248	0
PF3D7_0102300	0	0	0	0	0	0	0
PF3D7_0102400	0.4531	0	0	0	0.4774	0.673099999999998	0
PF3D7_0102500	0.1332	0.118	0.2624	0.1874	0.1403	0.474	0
PF3D7_0102600	0	0	0	0.1553	0.0581	0.1024	0
PF3D7_0102700	0	0	0.0990000000000002	0	0.2647	0.2333	0
PF3D7_0102800	0.3434	0.6086	0.2256	0.4834	0.1206	1.5412	0
PF3D7_0102900	0	0	0	0	0	0	0
PF3D7_0103000	0	0	0.105499999999999	0	0	0	0
PF3D7_0103100	0.298	0.194	0.620699999999999	0.3595	0.4708	0.454600000000003	0
PF3D7_0103200	0	0.0608000000000004	0	0	0	0	0
PF3D7_0103300	0.870799999999999	0.690199999999997	0.984999999999999	0.533000000000001	0.1196	0.7736	0
PF3D7_0103400	1.0089	4.5654	7.1918	3.3845	1.4473	6.29900000000001	0
PF3D7_0103500	0.0571999999999999	0.0144000000000002	0.2256	0	0.0402	0.0353999999999992	0
PF3D7_0103600	0.544099999999999	0.860999999999999	0.286	0.1915	1.5522	9.9147	0
PF3D7_0103700	0	0.0492999999999997	0.1023	0	0.2736	1.3263	0
PF3D7_0103800	0.0912999999999995	0	0	0	0	0.593600000000009	0
PF3D7_0103900	0.7853	0.3212	0.571399999999997	0.340199999999999	0.4454	0.841400000000007	0
PF3D7_0104000	0.4243	0	0	0.597399999999999	0	0.591099999999983	0
PF3D7_0104100	0.0878999999999999	0.0334	0	0	0.0926	0.285600000000001	0
PF3D7_0104200	0	0.0565999999999889	0.0587999999999909	0	0	0.0691000000000024	0
PF3D7_0104300	22.6274	16.0621	21.2389	7.4178	2.2518	4.0713	0
PF3D7_0104400	0	0	0	0	0.273500000000002	0.180799999999998	0
PF3D7_0104500	0	0.0950999999999951	0	0	0	0	0
PF3D7_0104600	0.1558	0.5128	0.4913	0	0.0547	0.0965000000000007	0
PF3D7_0104700	0	0	0	0.1375	0	0.0453999999999999	0
PF3D7_0104800	0.1806	0	0.0474999999999994	0	0	0.279600000000002	0
PF3D7_0104900	0	0	0	0	0	0	0
PF3D7_0105000	0.949000000000001	0.7208	1.7456	0	2.3327	1.7625	0
PF3D7_0105100	0	0	0	0	0	0.224399999999999	0
PF3D7_0105200	0	0	0.0963999999999992	0	0	0	0
PF3D7_0105300	0	0	0	0	0	0.594700000000003	0
PF3D7_0105400.1	0.2468	0	0	0	0	0	0
PF3D7_0105400.2	0.2596	0	0	0	0	0	0
PF3D7_0105500	0	0	0	0	0	0	0
PF3D7_0105600	0	0.0214999999999996	0.0670999999999999	0	0	0.0263999999999989	0
PF3D7_0105700	0.5905	0.6729	2.3008	1.0871	0.5862	1.0757	0
PF3D7_0105800	0	0.0316999999999998	0	0	0.0440000000000005	0.0776000000000003	0
PF3D7_0105900	0.0774999999999997	0.0588	0	0	0.163300000000001	0.359899999999996	0
PF3D7_0106000	1.7341	0.9163	7.4593	2.3352	0.2383	0.805200000000001	0
PF3D7_0106100	0	0	0	0	0	0.0842000000000009	0
PF3D7_0106200	0	0	0	0	0	0.299199999999999	0
PF3D7_0106300	0.169899999999998	0.107500000000002	0.156300000000044	0	0	0.0525999999999982	0
PF3D7_0106400	0	0	0.174700000000001	0	0	1.02909999999997	0
PF3D7_0106500	0.5915	0.5616	0.7188	0.2081	0.3375	1.8307	0
PF3D7_0106600	0.9279	0.3524	0.3657	0.3266	0.2443	0.4309	0
PF3D7_0106700	67.2643	106.2555	44.9972	20.4133	3.2697	1.1034	0
PF3D7_0106800	0	0	0.382800000000003	0	0	0.150300000000001	0
PF3D7_0106900	0	0.3955	0	0	0.0997999999999997	0.0879000000000012	0
PF3D7_0107000	0	0.1563	0	0	0.650700000000029	0.76479999999998	0
PF3D7_0107100	0	0	0.0504999999999995	0	0	0.0593999999999983	0
PF3D7_0107200	0	0	0.0810999999999993	0	0.542299999999997	0.0955999999999992	0
PF3D7_0107300	0	0.0661	0	0	0	0	0
PF3D7_0107400	0	0	0	0	0	0	0
PF3D7_0107500	0.354799999999955	0.305499999999995	0.335700000000003	0	0.124600000000001	0.197700000000001	0
PF3D7_0107600	0.4143	0.3477	0.4125	0	3.0547	7.0253	0
PF3D7_0107700	0.3892	1.0643	0.613700000000001	0.2192	8.6107	16.7706	0
PF3D7_0107800	1.1843	0.364100000000001	0.466799999999999	0.7145	0.505	1.0998	0
PF3D7_0107900	0.1261	0.1915	0.298199999999998	0	0.132800000000003	0.702400000000011	0
PF3D7_0108000	0	0.120699999999999	0.500999999999976	0.447399999999988	0.502099999999984	0.147500000000008	0
PF3D7_0108100	0	0	0	0	0	0.049199999999999	0
PF3D7_0108300	19.3398	50.6244	25.2329	14.2414	9.0239	5.6859	0
PF3D7_0108400.1	0	0.0798000000000005	0	0	0	0	0
PF3D7_0108400.2	0	0.1511	0	0	0	0	0
PF3D7_0108500	1427.6047	380.1563	675.6995	1262.1843	95.9188	47.0323000000001	0
PF3D7_0108600	0	0.0861000000000001	0	0	0	0.1053	0
PF3D7_0108700	3.0782	4.9743	5.0911	0.3399	2.4162	2.9706	0
PF3D7_0108800	0	0	0	0	0.304599999999994	0.268500000000017	0
PF3D7_0108900	144.7516	75.9872	71.0444	63.1909	476.3557	773.717	0
PF3D7_0109000	0.1547	0.1174	0.121899999999982	0	0	0.143599999999878	0
PF3D7_0109100	0.0337999999999998	0	0	0	0	0.188200000000002	0
PF3D7_0109200	0	0	0	0	0	0	0
PF3D7_0109300	0	0	0.085	0.3033	0.340499999999999	0.500200000000007	1.4439
PF3D7_0109400	0	0	0	0	0.219500000000153	0.193499999999858	0
PF3D7_0109500	0.222999999999999	0	0	0	0.704900000000009	1.65699999999993	0
PF3D7_0109600	0.230399999999999	0	0.181699999999999	0	0.971000000000004	1.49800000000002	0
PF3D7_0109700	0	0.143599999999999	0	0	0	0.175600000000003	0
PF3D7_0109800	0.120800000000003	0.0458999999999996	0.0953000000000017	0	0	0	0
PF3D7_0109900.1	0.0457000000000001	0	0	0	0.5291	0.805700000000002	0
PF3D7_0109900.2	0.0500999999999996	0	0	0	0.474699999999999	0.790399999999977	0
PF3D7_0110000	0.148099999999999	0.112400000000001	0	0	0.4679000000001	0.274999999999977	0
PF3D7_0110100	3.275	3.8444	4.2539	0.8382	0.3529	0.933099999999996	0
PF3D7_0110200	0	0	0	0	0	0	0
PF3D7_0110300	1.1388	0.865	0.5985	0	0.799800000000001	5.6399	0
PF3D7_0110400	0.139200000000002	1.1629	0	0	0.293299999999999	0.516999999999996	0
PF3D7_0110500	2.0092	6.8099	2.9398	0.9428	3.5117	4.6928	0
PF3D7_0110600	11.8766	7.49199999999999	13.3063	3.3783	6.7272	9.1404	0
PF3D7_0110700	0	0	0	0	0.246099999999998	0.144500000000001	0
PF3D7_0110800	0	0	0	0	0.0996999999999986	0.0878000000000014	0
PF3D7_0110900	0	0	0	0	0	0.172800000000002	0
PF3D7_0111000	0.1463	0.1588	0.560200000000002	0	0.0880999999999998	0.271699999999999	0
PF3D7_0111200	0	0	0	0	3.3665	2.9675	0
PF3D7_0111300	0.0596000000000001	0.0225999999999997	0.0704999999999991	0.0838999999999999	0.408	0.608699999999999	0
PF3D7_0111400	0.484	0.4411	0.267100000000001	0.2725	1.7335	4.1795	0
PF3D7_0111500	0	0	0	0	0	0.1738	0
PF3D7_0111600	0	0	0	0	0	0	0
PF3D7_0111700	0	0	0	0	0	0	0
PF3D7_0111800	0.6163	0.595800000000001	0.0884	0.1578	0.1181	1.0927	0
PF3D7_0111900	0	0	0	0	0	0	0
PF3D7_0112000	0.1553	0	0	0	0	0.2163	0
