ID	0 hpi  Total	1 hpi Total	2 hpi  Total	3 hpi Total	4 hpi Total	5 hpi Total	6 hpi Total	7 hpi Total	8 hpi Total	9 hpi Total	10 hpi Total	11 hpi Total	12 hpi Total	13 hpi Total	14 hpi Total	15 hpi Total	16 hpi Total	17 hpi Total	18 hpi Total	19 hpi Total	20 hpi Total	21 hpi Total	22 hpi Total	23 hpi Total	24 hpi Total	25 hpi Total	26 hpi Total	27 hpi Total	28 hpi Total	29 hpi Total	30 hpi Total	31 hpi Total	32 hpi Total	33 hpi Total	34 hpi Total	35 hpi Total	36 hpi Total	37 hpi Total	38 hpi Total	39 hpi Total	40 hpi Total	41 hpi Total	42 hpi Total	43 hpi Total	44 hpi Total	45 hpi Total	46 hpi Total	47 hpi Total
mal_mito_1	0.867	0.6175	0.5813	0.4099	0.3692	0.3788	0.5857	0.9946	1.3601	1.769	1.5846	1.5047	0.7622	0.5776	0.4699	0.5011	0.0597	0.2596	0.0148	-0.312	-0.1218	-0.0223	0.2623	0.4935	0.7303	1.0327	1.2319	1.3519	1.382	1.4355	1.3191	1.54	1.5134	1.5644	1.9259	2.1501	2.0378	1.8931	1.7937	1.3966	0.9901	0.8626	1.0561	0.7689	0.9945	1.2026	1.3169	2.0498
mal_mito_2	0.2517	0.0335	0.0266	-0.0843	-0.1361	-0.0718	0.1351	0.465	0.7293	1.096	0.7986	0.7001	1e-04	-0.232	-0.3597	-0.3146	-0.706	-0.4601	-0.5924	-0.7789	-0.5468	-0.3606	-0.1723	0.0107	0.1597	0.4093	0.5637	0.75	0.8439	0.92	0.974	1.2101	1.2516	1.3759	1.786	1.8994	1.7458	1.6056	1.4478	1.05	0.6297	0.4755	0.6125	0.2965	0.4656	0.7251	0.8765	1.6807
mal_mito_3	0.0828	-0.1015	-0.0818	-0.155	-0.19	-0.129	0.0678	0.4449	0.7199	1.1041	0.8056	0.7393	0.0047	-0.2321	-0.4274	-0.3711	-0.8321	-0.5963	-0.7524	-0.9042	-0.6594	-0.4402	-0.2141	5e-04	0.1847	0.4759	0.6531	0.8443	0.9112	0.9595	0.9264	1.1806	1.1386	1.2443	1.6454	1.8123	1.6624	1.5156	1.3901	1.0519	0.5934	0.3976	0.545	0.3688	0.4052	0.5908	0.623	0.939
PF3D7_0100100	-0.1116	-0.0556	0.0755	0.0524	0.1036	0.1271	0.4599	0.855	1.2731	1.6402	1.4206	1.4431	0.7918	0.6399	0.8462	0.9106	0.2979	0.3062	-0.1273	-0.8343	-0.8703	-0.8223	-0.7406	-0.7026	-0.6704	-0.6444	-0.6199	-0.6447	-0.6607	-0.6392	-0.593	-0.4662	-0.3799	-0.2607	-0.0106	0.1581	0.1117	0.0664	-0.0337	-0.3573	-0.6027	-0.7152	-0.7414	-0.5515	-0.4008	-0.2883	-0.1359	-0.2698
PF3D7_0100200	0.3965	0.3134	0.3723	0.2221	0.247	0.2685	0.3638	0.5181	0.8068	1.0283	0.9088	0.9257	0.6016	0.4553	0.7848	0.8032	0.5573	0.6066	0.497	-0.0675	-0.1359	-0.2411	-0.3135	-0.3963	-0.4681	-0.3749	-0.3692	-0.3863	-0.4431	-0.4374	-0.5602	-0.5737	-0.7128	-0.7466	-0.464	-0.1486	0.0653	0.1192	0.0951	-0.2205	-0.6143	-0.9647	-0.9449	-0.6178	-0.4495	-0.3234	0.0171	-0.2686
PF3D7_0100300	-0.4726	-0.4067	-0.3005	-0.3381	-0.2582	-0.2057	0.1737	0.5142	0.9295	1.265	1.1501	1.2175	0.7004	0.5138	0.6246	0.463	-0.2852	-0.3656	-0.8064	-1.4801	-1.4995	-1.534	-1.3558	-1.1893	-1.1875	-1.1501	-1.0357	-1.1682	-1.284	-1.1622	-1.3608	-1.5308	-1.6722	-1.7061	-1.6415	-1.2737	-1.1821	-1.1452	-1.194	-1.4511	-1.7002	-1.8314	-1.7448	-1.305	-1.1721	-1.2213	-1.1595	-2.0796
PF3D7_0100400	0.8959	0.9149	1.1474	1.0824	1.1661	1.2086	1.5054	1.8415	2.3142	2.7995	2.5436	2.5363	1.8548	1.6934	1.7887	1.6922	1.0021	0.903	0.3255	-0.4883	-0.5383	-0.6449	-0.4537	-0.3308	-0.2228	-0.2553	-0.0564	-0.1833	-0.2638	-0.3771	-0.4328	-0.7136	-0.923	-1.0705	-0.585	-0.0332	0.1228	0.2185	0.2313	-0.1914	-0.7097	-0.7861	-0.7277	-0.5767	-0.6385	-0.6398	-0.6735	-1.0312
PF3D7_0100500	1.594	1.3796	1.4235	1.3907	1.5058	1.7009	1.9953	2.383	2.7242	3.062	2.9015	2.953	2.311	2.1583	2.3003	2.2982	1.7729	1.9353	1.7019	1.0702	0.8346	0.7025	0.5949	0.4921	0.4976	0.6539	0.6671	0.6218	0.5094	0.4394	0.3971	0.38	0.3679	0.2995	0.7165	1.0177	1.1543	1.1242	1.2789	1.0015	0.9114	0.7004	0.7776	0.6965	0.5921	0.3566	0.4895	0.564
PF3D7_0100600	0.5749	0.5191	0.5945	0.5725	0.6121	0.6625	0.8021	1.0215	1.2886	1.4849	1.3613	1.4239	0.9971	0.8491	0.9127	0.895	0.5775	0.6562	0.4649	0.1314	0.1792	0.1317	0.1287	0.1677	0.2176	0.348	0.4067	0.4436	0.373	0.3495	0.2082	0.0697	-0.0388	-0.0823	0.068	0.2331	0.3143	0.301	0.3695	0.1653	0.0114	-0.0873	-0.0064	0.0281	0.0884	0.0303	0.1293	-0.0237
PF3D7_0100700	-1.8176	-1.5882	-1.4586	-1.3478	-1.2944	-1.2099	-0.7373	-0.3153	0.1774	0.5549	0.8936	0.9922	1.1097	1.1635	1.325	1.5227	1.4567	1.4346	1.2963	1.0293	0.6972	0.4207	-0.0622	-0.399	-0.7845	-1.17	-1.4325	-1.6263	-1.7918	-1.8944	-2.0155	-2.1386	-2.1835	-2.2765	-2.204	-1.9773	-2.0873	-2.1613	-2.2613	-2.5176	-2.5427	-2.5731	-2.5928	-2.1565	-2.0636	-2.3273	-2.2729	-3.0583
PF3D7_0100800	-0.037	0.0721	0.1784	0.2077	0.1719	0.1883	0.0049	0.2087	0.3877	0.6269	0.5089	0.5926	0.2876	0.098	0.2945	0.3628	0.2132	0.285	0.2691	4e-04	0.0279	0.1231	0.0243	-4e-04	-0.1372	-0.1546	-0.1587	-0.0307	-0.0217	0.016	-0.0046	-0.0998	-0.2213	-0.2448	-0.0508	0.0482	0.0787	0.14	0.0745	-0.2239	-0.3678	-0.4467	-0.4556	-0.4099	-0.4161	-0.4484	-0.4521	-0.5758
PF3D7_0100900	0.3618	0.2628	0.176	0.1578	0.1545	0.2212	0.1298	0.2788	0.3311	0.3509	0.3309	0.3575	0.2741	0.1351	0.3852	0.3061	0.3322	0.3678	0.3832	0.1385	0.1575	0.0224	-0.1051	-0.1925	-0.2214	-0.1534	-0.1301	-0.2055	-0.1977	-0.3253	-0.4637	-0.4653	-0.4357	-0.3894	-0.1565	-0.2335	-0.0862	-0.0508	-0.1078	-0.3039	-0.2952	-0.442	-0.4342	-0.3726	-0.3679	-0.3911	-0.4506	-0.6858
PF3D7_0101000	0.7609	0.7346	0.8866	0.8517	0.929	1.0096	1.2925	1.6857	2.1665	2.6531	2.4309	2.4807	1.8643	1.7159	1.6389	1.6104	0.9889	0.9259	0.3779	-0.1839	-0.1434	-0.0914	-0.0032	0.0569	0.1305	-0.0127	0.0392	0.0024	-0.0255	-0.0925	-0.0498	-0.1251	-0.2081	-0.2231	0.1022	0.4806	0.5042	0.497	0.4616	0.1898	-0.1399	-0.2151	-0.1722	0.0023	0.0279	-0.0177	0.0193	-0.2991
PF3D7_0101100	2.1856	2.006	1.8954	1.8586	1.7872	1.8514	1.961	2.1709	2.3007	2.4614	2.4452	2.5137	2.3072	2.2678	2.2765	2.2143	1.8251	1.6461	1.3029	0.9249	0.6936	0.4499	0.2696	0.0716	-0.1273	-0.2101	-0.2999	-0.3955	-0.5113	-0.5795	-0.8634	-0.9101	-1.0272	-1.0158	-0.7878	-0.4506	-0.4319	-0.3318	-0.3538	-0.6048	-0.6186	-0.6636	-0.575	-0.2589	-0.1709	-0.3658	-0.3251	-0.8741
PF3D7_0101200	1.9184	1.7098	1.6499	1.594	1.6411	1.6672	1.8473	2.0384	2.1525	2.259	2.2954	2.3269	2.149	2.0438	2.0884	1.9161	1.408	1.1382	0.766	0.2325	-0.0165	-0.2612	-0.4433	-0.5641	-0.7679	-0.9569	-0.985	-1.1549	-1.3036	-1.3058	-1.4509	-1.6566	-1.7675	-1.8279	-1.5378	-1.0742	-0.9476	-0.8644	-0.8065	-1.0485	-1.3742	-1.2958	-1.1593	-0.8959	-1.0014	-1.0681	-1.2641	-1.8966
PF3D7_0101300	-1.3813	-1.2601	-1.1645	-1.1806	-1.2006	-1.175	-0.7228	-0.324	0.1907	0.5647	0.9352	0.9824	1.0227	1.1492	1.4581	1.6504	1.7013	1.7108	1.6574	1.4482	1.2986	1.0421	0.6267	0.1579	-0.2879	-0.6934	-0.9052	-0.9561	-0.9504	-0.8991	-0.8988	-1.0361	-1.1195	-1.2264	-1.2143	-1.1757	-1.1466	-1.1194	-1.1506	-1.3278	-1.4791	-1.5413	-1.5746	-1.229	-1.112	-1.0523	-0.9449	-1.4286
