ID	T1	T2	T3	T4	T5	T6	T7	T8	T9	T10	T11	T12	T13	T14	T15	T16	T17	T18	T19	T20	T21	T22	T23	T24	T25	T26	T27	T28	T29	T30	T31	T32	T33	T34	T35	T36	T37	T38	T39	T40	T41	T42	T43	T44	T45	T46	T47	T48	T49	T50	T51	T52	T53
mal_mito_1	0.4563	0.2749	0.1728	0.0187	-0.204	-0.253	-0.3842	-0.5643	-0.6783	-0.7617	-1.0867	-1.3056	-1.3721	-1.6169	-1.488	-1.4088	-1.3014	-1.1998	-0.8253	-0.7642	-0.6392	-0.5459	-0.4736	-0.4776	-0.4519	-0.3945	-0.3983	-0.2473	-0.1793	-0.0934	-0.0281	0.1457	0.1193	0.0797	-0.01	-0.0194	-0.0888	-0.1486	-0.1266	-0.1776	-0.1085	0.0626	0.1823	0.1759	0.332	0.3209	0.2068	0.1173	0.2355	0.2445	0.5222	0.793	1.2067
mal_mito_2	0.2809	0.1346	0.0264	-0.1395	-0.3571	-0.421	-0.551	-0.7277	-0.836	-0.9173	-1.1792	-1.3967	-1.4404	-1.6241	-1.461	-1.4144	-1.2708	-1.1402	-0.8517	-0.8224	-0.6855	-0.6169	-0.4994	-0.3983	-0.3282	-0.1929	-0.1218	-0.026	0.0078	0.0883	0.0985	0.2082	0.1855	0.1525	0.1092	0.1058	0.057	0.0238	0.0632	0.0542	0.127	0.3307	0.4333	0.4088	0.4821	0.455	0.2905	0.2639	0.3326	0.2943	0.4287	0.5199	0.7045
mal_mito_3	0.2288	0.1082	0.0355	-0.1671	-0.32	-0.3709	-0.5347	-0.7971	-1.0088	-1.2302	-1.6606	-2.0086	-2.1182	-2.3111	-2.1578	-2.0676	-1.8719	-1.7026	-1.3313	-1.2485	-1.1119	-1.0006	-0.8798	-0.7629	-0.7214	-0.5768	-0.5453	-0.4078	-0.3645	-0.208	-0.1394	0.0252	0.0367	0.0423	-0.0066	0.0653	0.0582	0.0362	0.0708	0.0413	0.1251	0.4122	0.5265	0.5031	0.6069	0.5018	0.2263	0.2012	0.2739	0.3004	0.4834	0.6497	0.8902
PF3D7_0100100	0.013	0.0242	0.0549	0.0612	0.1076	0.1463	0.181	0.1952	0.2063	0.1977	0.2135	0.1973	0.219	0.2523	0.2413	0.2	0.2028	0.1621	0.1507	0.1126	0.1079	0.0662	0.0979	0.0796	0.0983	0.1054	0.1174	0.0834	0.0419	0.0452	0.0065	-0.0091	-0.0278	-0.0136	-0.0676	-0.0555	-0.0619	-0.0868	-0.1068	-0.0565	-0.0571	-0.0484	-0.023	-4e-04	-0.0125	0.0724	0.0895	0.0904	0.134	0.1575	0.1227	0.1672	0.1869
PF3D7_0100200	0.0545	0.0913	0.0929	0.0933	0.0633	0.0595	0.0562	0.0417	0.0451	0.0728	0.0805	0.0882	0.1378	0.1623	0.1324	0.0916	0.042	-0.0025	-0.0441	-0.0127	0.0092	0.0378	0.0802	0.1041	0.0893	0.1285	0.126	0.0935	0.0778	0.077	0.0156	0.0417	0.0312	0.024	0.054	0.0735	0.0576	0.0611	0.071	0.0325	0.0269	0.0808	0.1178	0.1405	0.1362	0.1592	0.1274	0.1165	0.0942	0.1068	0.1135	0.1058	0.1532
PF3D7_0100300	-0.0041	0.0759	0.1357	0.204	0.2684	0.3087	0.3324	0.4279	0.4079	0.4094	0.4667	0.4951	0.4288	0.5534	0.5922	0.538	0.5194	0.5022	0.377	0.284	0.2324	0.173	0.1166	0.059	0.0096	-0.0482	-0.0962	-0.1178	-0.1087	-0.0962	-0.0687	-0.0451	-0.0461	-0.0584	-0.0576	-0.0513	-0.0599	-0.0269	-0.013	0.001	0.0164	0.0305	0.0209	0.0224	-0.016	-0.0238	-0.0476	-0.0489	-0.0277	0.0142	0.0728	0.1703	0.2746
PF3D7_0100400	0.0756	0.0776	0.0944	0.1328	0.1463	0.2221	0.2478	0.2763	0.2842	0.2716	0.3037	0.2878	0.2643	0.2533	0.2355	0.1288	0.0903	0.0864	0.0414	-0.005	-0.0243	-0.0202	-0.0929	-0.0778	-0.0636	-0.0294	-0.0347	0.0707	0.0583	0.0611	0.0417	0.0303	-0.0316	-0.0351	-0.0638	-0.0653	-0.0444	-0.065	-0.0639	-0.0152	-0.0104	-0.0073	0.0101	0.0336	0.0194	0.021	0.0274	0.065	0.2276	0.2217	0.2312	0.2118	-0.1081
PF3D7_0100600	0.1829	0.1035	0.0653	0.0169	0.0182	0.0149	0.0202	0.0376	0.0542	0.0622	0.0655	0.0481	0.05	0.0327	0.0235	0.0242	0.0218	-0.0017	-5e-04	0.0285	0.0299	0.0355	0.0476	0.0793	0.0658	0.0686	0.0723	0.0393	0.0093	0.0041	-7e-04	0.015	0.0411	0.0586	0.044	0.0428	0.0208	0.0141	0.0252	0.0142	0.0929	0.1051	0.1252	0.1017	0.1066	0.0214	-0.0016	-0.0206	-0.0276	-0.0281	-0.0391	-0.0413	-0.0611
PF3D7_0100800	0.1738	0.1031	0.1088	0.1206	0.1317	0.1948	0.2038	0.2229	0.1942	0.182	0.1431	0.1253	0.1157	0.1193	0.1401	0.1429	0.1446	0.1692	0.2135	0.1887	0.169	0.1523	0.1201	0.0402	0.0285	-0.0456	-0.1079	-0.1408	-0.1284	-0.1263	-0.0566	-0.0208	-0.0323	-0.0395	-0.0898	-0.0797	-0.0797	-0.0626	-0.073	-0.0454	-0.0645	-0.0773	-0.0721	-0.0439	-0.0341	-0.0572	-0.0534	-0.0639	-0.0345	0.0163	0.1504	0.2906	0.4409
PF3D7_0100900	0.2702	0.3434	0.4135	0.4236	0.3979	0.4324	0.384	0.3718	0.3491	0.3109	0.3599	0.3414	0.303	0.3729	0.3566	0.2392	0.2345	0.2029	0.0774	-0.0083	-0.0695	-0.2049	-0.2784	-0.273	-0.3471	-0.3358	-0.2394	-0.2468	-0.2656	-0.2026	-0.2208	-0.2552	-0.2684	-0.2562	-0.203	-0.2032	-0.2411	-0.2158	-0.1902	-0.1753	-0.0186	0.0247	0.0471	0.0939	0.1399	0.0706	0.1071	0.1443	0.517	0.544	0.7427	1.0115	0.7957
